id,source,dest,request_time,elevator,estimated_wait_time,pickup_time,actual_wait_time,dropoff_time,travel_time,total_time
p01,1,15,0,E1,0,0,0,14,14,14
p02,1,22,0,E1,0,0,0,21,21,21
p03,1,3,0,E1,0,0,0,2,2,2
p04,1,30,0,E1,0,0,0,29,29,29
p05,1,9,0,E1,0,0,0,8,8,8
p06,1,18,0,E1,0,0,0,17,17,17
p07,1,35,0,E1,0,0,0,34,34,34
p08,1,12,0,E1,0,0,0,11,11,11
p09,1,26,0,E2,0,0,0,25,25,25
p10,1,7,0,E2,0,0,0,6,6,6
p11,15,30,5,E3,14,19,14,34,15,29
p12,15,2,5,E4,14,19,14,72,53,67
p13,20,5,8,E1,11,19,11,64,45,56
p14,20,33,8,E2,11,19,11,32,13,24
p15,10,25,12,E3,2,14,2,29,15,17
p16,10,1,12,E4,2,14,2,73,59,61
p17,3,34,20,E1,18,66,46,101,35,81
p18,33,4,23,E2,9,32,9,65,33,42
p19,28,14,26,E3,6,32,6,60,28,34
p20,5,31,29,E4,20,69,40,103,34,74
p21,31,6,32,E1,2,38,6,63,25,31
p22,2,29,35,E2,32,67,32,96,29,61
p23,29,3,38,E3,5,45,7,71,26,33
p24,1,20,45,E4,28,73,28,92,19,47
p25,20,1,45,E1,4,49,4,68,19,23
p26,12,25,46,E2,11,57,11,92,35,46
p27,25,12,46,E3,3,49,3,62,13,16
p28,8,19,48,E4,18,66,18,91,25,43
p29,19,8,48,E1,2,50,2,61,11,13
p30,15,1,50,E2,4,54,4,68,14,18
p31,1,15,50,E3,23,73,23,87,14,37
p32,35,1,115,E4,4,119,4,153,34,38
p33,35,2,115,E4,4,119,4,152,33,37
p34,35,1,115,E4,4,119,4,153,34,38
p35,34,1,115,E4,3,118,3,153,35,38
p36,35,3,115,E4,4,119,4,151,32,36
p37,33,1,115,E4,2,117,2,153,36,38
p38,35,1,115,E4,4,119,4,153,34,38
p39,32,2,115,E4,1,116,1,152,36,37
p40,35,1,115,E1,1,116,1,150,34,35
p41,10,11,120,E2,19,139,19,158,19,38
p42,2,34,125,E3,13,138,13,172,34,47
p43,18,4,130,E4,6,170,40,218,48,88
p44,35,34,140,E1,24,184,44,185,1,45
